[001/325] OCR: 009 linhas, confiança 0.851
[002/325] OCR: 007 linhas, confiança 0.844
[003/325] OCR: 040 linhas, confiança 0.909
[004/325] OCR: 056 linhas, confiança 0.784
[005/325] OCR: 079 linhas, confiança 0.806
[006/325] OCR: 061 linhas, confiança 0.799
[007/325] OCR: 036 linhas, confiança 0.916
[008/325] OCR: 037 linhas, confiança 0.916
[009/325] OCR: 017 linhas, confiança 0.909
[010/325] OCR: 035 linhas, confiança 0.913
[011/325] OCR: 002 linhas, confiança 0.806
[012/325] OCR: 040 linhas, confiança 0.919
[013/325] OCR: 039 linhas, confiança 0.923
[014/325] OCR: 002 linhas, confiança 0.773
[015/325] OCR: 000 linhas
[016/325] OCR: 064 linhas, confiança 0.841
[017/325] OCR: 031 linhas, confiança 0.898
[018/325] OCR: 017 linhas, confiança 0.886
[019/325] OCR: 013 linhas, confiança 0.890
[020/325] OCR: 074 linhas, confiança 0.788
[021/325] OCR: 080 linhas, confiança 0.814
[022/325] OCR: 037 linhas, confiança 0.900
[023/325] OCR: 068 linhas, confiança 0.806
[024/325] OCR: 043 linhas, confiança 0.843
[025/325] OCR: 049 linhas, confiança 0.828
[026/325] OCR: 039 linhas, confiança 0.876
[027/325] OCR: 057 linhas, confiança 0.826
[028/325] OCR: 078 linhas, confiança 0.788
[029/325] OCR: 062 linhas, confiança 0.836
[030/325] OCR: 039 linhas, confiança 0.832
[031/325] OCR: 017 linhas, confiança 0.906
[032/325] OCR: 052 linhas, confiança 0.816
[033/325] OCR: 060 linhas, confiança 0.797
[034/325] OCR: 070 linhas, confiança 0.801
[035/325] OCR: 025 linhas, confiança 0.899
[036/325] OCR: 044 linhas, confiança 0.823
[037/325] OCR: 058 linhas, confiança 0.775
[038/325] OCR: 044 linhas, confiança 0.807
[039/325] OCR: 022 linhas, confiança 0.892
[040/325] OCR: 053 linhas, confiança 0.818
[041/325] OCR: 051 linhas, confiança 0.788
[042/325] OCR: 065 linhas, confiança 0.813
[043/325] OCR: 040 linhas, confiança 0.892
[044/325] OCR: 007 linhas, confiança 0.901
